52:43.5,22,25748, 
52:44.5,22,25752, 
52:45.5,22,25760, 
52:46.5,22,25756, 
52:47.6,22,25756, 
52:48.6,22,25744, 
52:49.6,22,25748, 
52:50.6,22,25748, 
52:51.7,22,25748, 
52:52.7,22,25748, 
52:53.7,22,25744, 
52:54.8,22,25740, 
52:55.8,22,25744, 
52:56.8,22,25736, 
52:57.8,22,25740, 
52:58.9,22,25736, 
52:59.9,22,25744, 
53:00.9,22,25744, 
53:01.9,22,25740, 
53:03.0,22,25740, 
53:04.0,22,25740, 
53:05.0,22,25744, 
53:06.0,22,25740, 
53:07.1,22,25736, 
53:08.1,22,25736, 
53:09.1,22,25736, 
53:10.1,22,25732, 
53:11.2,22,25732, 
53:12.2,22,25736, 
53:13.2,22,25740, 
53:14.2,22,25736, 
53:15.3,22,25736, 
53:16.3,22,25736, 
53:17.3,22,25732, 
53:18.3,22,25732, 
53:19.4,22,25732, 
53:20.4,22,25728, 
53:21.4,22,25736, 
53:22.4,22,25736, 
53:23.5,22,25736, 
53:24.5,22,25736, 
53:25.5,22,25736, 
53:26.5,22,25736, 
53:27.6,22,25744, 
53:28.6,22,25744, 
53:29.6,22,25732, 
53:30.7,22,25740, 
53:31.7,22,25740, 
53:32.7,22,25736, 
53:33.8,22,25740, 
53:34.8,22,25740, 
53:35.8,22,25740, 
53:36.8,22,25744, 
53:37.9,22,25736, 
53:38.9,22,25736, 
53:39.9,22,25740, 
53:41.0,22,25740, 
53:42.0,22,25744, 
53:43.0,22,25744, 
53:44.0,22,25740, 
53:45.0,22,25732, 
53:46.1,22,25728, 
53:47.1,22,25736, 
53:48.1,22,25732, 
53:49.1,22,25728, 
53:50.2,22,25728, 
53:51.2,22,25728, 
53:52.2,22,25724, 
53:53.3,22,25736, 
53:54.3,22,25724, 
53:55.3,22,25728, 
53:56.3,22,25724, 
53:57.4,22,25728, 
53:58.4,22,25732, 
53:59.4,22,25732, 
54:00.5,22,25732, 
54:01.5,22,25728, 
54:02.5,22,25728, 
54:03.5,22,25728, 
54:04.6,22,25724, 
54:05.6,22,25732, 
54:06.6,22,25736, 
54:07.6,22,25724, 
54:08.7,22,25728, 
54:09.7,22,25728, 
54:10.7,22,25736, 
54:11.7,22,25728, 
54:12.8,22,25728, 
54:13.8,22,25736, 
54:14.8,22,25728, 
54:15.8,22,25732, 
54:16.9,22,25732, 
54:17.9,22,25736, 
54:18.9,22,25736, 
54:19.9,22,25728, 
54:21.0,22,25728, 
54:22.0,22,25716, 
54:23.0,22,25724, 
54:24.1,22,25724, 
54:25.1,22,25720, 
54:26.1,22,25716, 
54:27.1,22,25724, 
54:28.2,22,25720, 
54:29.2,22,25728, 
54:30.2,22,25728, 
54:31.2,22,25716, 
54:32.2,22,25724, 
54:33.3,22,25720, 
54:34.3,22,25716, 
54:35.3,22,25716, 
54:36.4,22,25724, 
54:37.4,22,25724, 
54:38.4,22,25712, 
54:39.4,22,25712, 
54:40.5,22,25712, 
54:41.5,22,25716, 
54:42.5,22,25716, 
54:43.5,22,25712, 
54:44.6,22,25712, 
54:45.6,22,25708, 
54:46.6,22,25712, 
54:47.6,22,25708, 
54:48.7,22,25712, 
54:49.7,22,25712, 
54:50.7,22,25712, 
54:51.7,22,25708, 
54:52.8,22,25712, 
54:53.8,22,25704, 
54:54.8,22,25712, 
54:55.9,22,25712, 
54:56.9,22,25708, 
54:57.9,22,25712, 
54:59.0,22,25708, 
55:00.0,22,25700, 
55:01.0,22,25704, 
55:02.1,22,25704, 
55:03.1,22,25700, 
55:04.1,22,25696, 
55:05.1,22,25704, 
55:06.2,22,25700, 
55:07.2,22,25696, 
55:08.2,22,25696, 
55:09.2,22,25696, 
55:10.3,22,25700, 
55:11.3,22,25696, 
55:12.3,22,25692, 
55:13.3,22,25704, 
55:14.4,22,25692, 
55:15.4,22,25704, 
55:16.4,22,25692, 
